"Term","Count","Box.Office","Critic.Score"
"lacking",2,0.16,50.5
"lackluster",1,0.2,67
"laconic",1,7.4,81
"lacrosse",1,1.7,38
"ladder",3,67.77,64.67
"laden",2,72.95,57.5
"ladies",5,40.95,39.8
"lady",7,72.73,39
"lafayette",1,13,33
"lafosse",1,12.3,77
"lahaye",1,0.2,13
"laid",3,37.33,27.33
"lair",2,0.4,38
"lake",6,31.89,41.67
"lakeside",3,73.3,40.67
"lam",2,85.25,15.5
"laman",1,1.1,17
"lamarca",1,22.4,48
"lambeau",1,13.3,9
"lambert",3,35.44,60.67
"lamps",1,7.8,53
"lancaster",2,21,20.5
"lance",1,0.4,84
"land",22,97.45,55.27
"landers",1,11.3,44
"landing",5,72.05,45.4
"landmark",2,9.2,50.5
"landon",3,27.43,30.67
"lands",11,68.14,30.64
"landscape",6,41.48,67.5
"landscaper",1,11.4,61
"landy",1,7.2,89
"lane",3,94.13,65.67
"langdon",1,133.4,37
"lange",1,0.5,27
"language",3,14.09,34.33
"lantern",1,116.6,26
"laos",1,5.3,91
"lapaglia",1,0.2,60
"lapd",5,46.14,48.6
"lapse",1,1.3,96
"laptop",1,0.8,0
"lara",2,97.6,21.5
"larcenous",1,31.3,26
"large",9,47.75,37.56
"largely",1,0.05,67
"larger",1,0.03,21
"largest",4,0.1,73
"larry",5,71.4,54.6
"las",17,72,40.59
"lassie",2,0.5,93
"last",52,37,50.63
"lasting",1,0.03,71
"late",15,48.83,49.53
"later",12,43.07,55.5
"latest",11,37.58,39.91
"latifah",2,37.35,46
"latin",3,36.53,31
"latina",2,1.52,10.5
"latino",5,5.84,54
"latinos",1,0.1,86
"latter",1,0.4,64
"lauda",1,26.9,89
"lauderdale",1,4.6,10
"laue",1,0.03,67
"laugh",2,4.25,56.5
"laughter",1,16,16
"launch",4,12.18,52.25
"launched",2,0.93,89
"launches",3,88.67,80.67
"laundering",1,3.7,71
"laura",1,11,67
"laurel",1,0.01,47
"lauren",1,1.2,55
"laurence",1,14.6,83
"laurie",3,40.6,18.67
"lavinia",1,30.2,47
"lavish",1,110,25
"lavoe",1,7.5,25
"law",33,40.75,45.03
"lawless",1,123.2,87
"lawman",3,35.1,68.67
"lawn",1,2.7,75
"lawrence",2,16.67,29.5
"laws",3,13.37,54.67
"lawsuit",2,24.5,53.5
"lawyer",19,30.2,52.63
"lay",2,9.65,10.5
"lays",1,12.4,27
"lazy",4,36.83,37.25
"lb",1,84.3,48
"le",1,63.1,41
"lead",29,41.54,45.52
"leader",25,45.32,42.4
"leaders",6,104.28,37.5
"leadership",2,187.75,53.5
"leading",14,41.61,45.43
"leads",27,38.87,43.93
"league",15,36.3,56.6
"leagues",1,1,92
"leaked",1,9.5,79
"lean",1,75.6,95
"leap",2,25.9,21
"learn",35,88.08,47.51
"learned",2,2.2,61.5
"learning",10,65.09,48.5
"learns",36,49.91,48.86
"leary",1,31.5,74
"least",2,13.85,29.5
"leather",1,38.2,2
"leave",23,48.49,42.43
"leaves",23,74.36,42.04
"leaving",5,6.27,49.2
"lebanese",1,0.2,52
"lebanon",2,1.07,73
"lebron",1,0.9,71
"lecter",2,128.4,54
"led",16,74.17,63.25
"ledge",1,0.01,14
"ledger",1,11.2,44
"lee",4,130.1,55
"left",38,27.91,46.13
"lefty",1,20.2,81
"leg",2,19.3,79.5
"legacy",8,82.85,56.38
"legal",5,49.06,46
"legalized",1,64.4,38
"legend",21,34.65,49.38
"legendary",23,31.35,50
"legends",4,26.22,38.75
"legion",1,19.5,39
"legislation",1,0.2,78
"lego",2,257.8,96
"lehi",2,1.1,17
"leisurely",1,17.4,48
"lemuel",2,21.95,19
"lemurs",3,112.83,66.67
"lena",1,19.4,46
"lends",1,0.05,40
"length",5,13.3,59
"lengths",1,9.2,90
"lennon",2,3.3,77.5
"lenny",1,133.7,7
"leo",2,72.1,40
"leon",2,0.07,56
"leonard",1,6.3,76
"leoni",1,110.3,29
"leonidas",2,124.4,31
"leonie",1,0.05,42
"lerman",1,8.1,26
"lesbian",1,1,87
"lesbians",1,0.08,19
"less",3,31.57,74
"lesser",1,2.7,76
"lesson",4,63.08,32
"lessons",6,51.13,68.17
"lestat",1,30.3,17
"let",5,23.62,59
"lethal",2,221.95,47
"letter",2,9.6,83
"letters",2,26.7,30
"letty",1,238.7,69
"leukemia",1,49.1,48
"level",8,5.83,34.25
"leveled",1,0.08,69
"levels",1,0.05,69
"levy",1,82.5,6
"lewis",4,101.23,60.75
"lgbt",1,0.1,63
"li",1,8.6,18
"liam",1,28.9,63
"liar",1,10,22
"liberian",1,7.9,38
"libertine",1,3.6,68
"librarian",1,63.4,38
"licence",1,167,95
"lie",4,62.13,43.75
"lied",1,18.4,58
"lies",7,8.76,39.71
"liesel",1,21.5,46
"lieutenant",1,19,60
"lieutenants",1,108.6,76
"life",406,32.16,51.21
"lifeless",2,48.25,47.5
"lifelong",7,13.5,66.29
"lifer",1,0.08,54
"lifestyle",7,48.42,44.29
"lifetime",9,22.34,39.56
"lifted",2,67.45,73.5
"light",5,4.14,55.6
"lighter",1,1,87
"lightning",3,157.53,46
"lights",2,9.9,34
"like",36,47.17,50.47
"likeable",1,63.1,20
"likelihood",1,0.3,81
"likes",3,29.9,30
"liliput",1,42.8,21
"lilly",1,107.8,47
"lily",3,13.11,61.67
"limited",3,31.22,51.67
"limits",4,30.11,37.75
"limo",1,0.5,68
"limp",1,0.1,28
"lin",1,0.3,63
"linchpin",1,65.6,21
"lincoln",6,83.57,45.17
"linda",3,4.57,60
"lindsay",1,42,65
"lindsey",1,35,31
"lindstrom",1,0.4,60
"line",15,38.71,43.73
"liner",1,60.7,33
"lines",5,84.74,48.6
"linguistics",1,18.7,89
"linked",1,16.5,21
"links",1,79.9,33
"lion",3,112.5,37.33
"lionel",1,0.1,32
"lions",2,0.6,87
"lippe",1,6.9,86
"liquidator",1,15,27
"lisa",1,30.2,32
"lisbeth",1,102.5,86
"list",7,48.23,44.43
"listed",1,20.4,21
"listless",1,44.5,71
"litany",1,0.04,32
"literally",3,43.57,48
"literary",3,13.3,29
"little",18,30.65,48.78
"liu",1,0.9,44
"live",53,37.77,52.36
"lived",2,2.14,39.5
"liverpudlian",1,24.3,53
"lives",110,35.18,52.43
"living",56,35.72,54.64
"liz",1,31.1,86
"lizewski",1,20,76
"lizzie",1,42.7,40
"ll",11,16.12,55.91
"llama",2,87.3,85
"lloyd",3,43.07,24.67
"loan",4,15.03,49.25
"loathsome",1,4,2
"lobby",1,0.2,78
"lobbyist",1,86.9,64
"loc",1,9.8,8
"local",48,27.15,44.56
"locals",2,15.7,52
"locate",4,3.35,63.5
"locating",1,128.4,91
"location",3,54.25,73
"locations",1,2.1,95
"lock",1,31.8,46
"locke",1,1.4,91
"locked",3,2.17,30.67
"lockni",1,0.5,12
"locks",1,110.2,39
"lockwood",1,119.8,70
"loft",1,0.01,15
"logan",2,19.15,41.5
"logging",1,13.1,3
"lois",1,3,60
"loki",2,320.15,49
"lola",1,0.3,35
"london",27,32.21,63.67
"lone",3,77.47,51.33
"loneliness",1,0.2,67
"lonely",19,37.24,53.95
"loner",3,1.17,63
"long",38,39.08,44.08
"longer",4,16.81,46.25
"longest",2,0.45,68.5
"longing",3,30.33,80.67
"longo",1,6.6,48
"longs",2,48.5,59.5
"longtime",5,28.86,55.8
"look",47,26.09,65.94
"looked",1,320.7,40
"looking",21,47.97,51.95
"looks",34,20.54,47.41
"loomis",1,0,0
"looney",2,18.95,31.5
"loop",3,40.03,49.67
"loophole",2,63,67
"loose",2,208.8,30.5
"loosely",1,59.4,63
"looting",1,51.7,63
"lorax",1,213.9,54
"lord",20,126.02,51.75
"lords",2,1.2,45
"lorena",1,6.1,14
"lori",1,218.6,67
"lorraine",1,137.4,86
"los",41,23.64,51.83
"lose",8,30.71,57.38
"loser",4,16.45,23.25
"losers",1,100.5,55
"loses",9,62.6,51
"losing",12,33.61,31.58
"loss",19,28,46.68
"lost",29,46.53,45
"lot",1,35.6,29
"lots",1,79.2,70
"lottery",4,8.63,31.5
"lou",1,12.3,14
"loudly",1,3.7,50
"louis",3,15.73,62
"louisiana",6,13.63,22.33
"lousy",1,19.2,14
"louvre",1,217.5,25
"lovable",3,38.07,30
"love",168,32.1,45.04
"loved",4,52.23,39.5
"lovelace",1,0.4,54
"loveless",3,2.83,55.67
"lovelorn",2,13.75,85.5
"lovely",1,110.3,29
"lover",15,18.86,58.13
"lovers",9,21.14,50.44
"loves",13,4.79,52.77
"lovett",1,52.8,86
"loving",11,24.45,41.18
"lovingly",1,59.6,57
"low",6,8.12,52
"lowell",1,44,65
"lower",2,1.2,68.5
"lowest",1,0.08,98
"loyal",3,54,69.67
"loyalists",1,0,0
"loyalties",1,142.5,53
"loyalty",3,136.23,72.67
"loza",1,0.8,40
"lu",1,0.01,19
"luc",1,0.01,51
"lucas",4,39.68,43.75
"luchador",1,80.2,40
"luck",10,21.39,35.6
"luckiest",1,17.2,13
"lucky",3,29.93,49.33
"lucrative",3,12.57,79
"lucy",2,112.6,46.5
"ludlum",1,113.2,55
"luis",1,1.7,0
"luke",6,13.89,50.83
"lumberjack",1,0,0
"lunar",1,4.4,5
"lunchbox",2,4.2,96
"lund",1,12.6,38
"lung",1,6,93
"lunt",1,12.7,39
"lure",4,6.08,51.5
"lured",10,5.9,43.5
"lurking",1,75.9,20
"lust",3,1.7,48
"luther",1,5.7,44
"luttrell",1,125.1,75
"luxurious",2,82.55,55.5
"luxury",1,60.7,33
"luxx",1,0.01,28
"lycan",1,62.3,26
"lycans",1,45.8,29
"lying",1,0.08,98
"lyn",1,32.4,52
"lynched",1,32,9
"lynn",2,29.25,45.5
"lyra",1,70.1,42
"lyric",1,50.5,62
"lyrics",1,0.06,63
"m",6,105.15,57.83
"ma",1,1.7,0
"mabel",1,53.3,38
"mac",1,68,43
"macaroni",1,124.9,87
"macaw",1,143.6,72
"macbeth",1,0.2,59
"maccormack",1,51.8,70
"macedonia",1,34.3,16
"macgruber",1,8,47
"mach",1,43.9,39
"machete",2,10.25,24
"machiavellian",1,5.6,10
"machinations",1,24.6,86
"machine",9,117.69,46.56
"machines",5,105.42,44.4
"mack",1,6.1,42
"macmanus",1,10.2,23
"macneil",2,21,20.5
"mad",6,60.33,45
"madagascar",3,139.77,71.33
"madame",1,54.2,68
"made",25,33.26,40.2
"madea",5,62.72,33.8
"madison",2,16.35,46
"madman",1,16,22
"madness",4,102.03,72.5
"maelstrom",1,32.8,23
"maersk",1,107.1,93
"mafia",9,27.12,45.56
"magazine",5,58.68,72.2
"magazines",1,4.5,5
"magdalena",1,1.5,86
"maggie",4,31.75,37
"magic",8,71.93,55.13
"magical",16,80.41,51.38
"magically",4,106,54
"magician",7,48.52,56.29
"magicians",1,53,76
"magna",1,10.5,2
"magnate",4,42.15,63.25
"magneto",1,234.2,58
"magnificent",1,206.4,83
"magorium",2,31.9,37
"mahal",1,3.8,7
"maher",1,13,70
"mahogany",1,0.03,71
"mahoney",1,31.9,37
"maid",4,77.25,39.5
"maiden",2,24.5,39
"maids",1,169.7,76
"mail",2,2.5,40.5
"mailman",1,32.5,23
"mails",1,26.8,0
"main",1,0.3,30
"maine",1,14.2,13
"maintain",5,9.38,44
"maintains",1,42.2,24
"major",21,38.53,61.95
"majorly",1,15,27
"make",67,43.85,45.06
"maker",3,69.05,80.67
"makers",1,0.2,80
"makes",25,68.36,54.68
"makeshift",1,16.6,31
"making",18,31.06,54.5
"mala",1,1.6,48
"maladies",1,0.09,49
"malaysia",1,44.7,64
"malby",1,6.3,8
"malcolm",7,23.73,26
"maldives",1,0.08,98
"male",18,41.44,56.11
"malevolent",3,80.33,52
"malfunction",1,37.4,21
"malfunctioning",2,71.3,70
"malfunctions",1,35.1,60
"malibu",1,17.4,21
"malicious",4,70.78,43
"mall",5,52.48,44.4
"mallory",4,31.78,75
"malls",1,68.4,6
"malmedy",1,1,66
"malone",1,29.5,4
"mammoth",2,135.5,42.5
"mammoths",1,195.3,57
"man",304,28.03,45.71
"management",3,87.4,53
"manager",16,25.81,59.38
"managers",1,0.4,53
"manages",2,5.25,34
"mandarin",1,409,79
"mandela",1,37.4,76
"maneuvers",1,21.2,70
"manhattan",13,23.55,48.92
"manhattanite",2,8.62,24
"manhood",2,43.9,76.5
"manhunt",1,228.8,87
"maniac",2,0.3,11.5
"maniacs",1,64.2,48
"manic",1,0.4,81
"manifest",1,0,13
"manifestations",1,25.9,7
"manipulate",2,25.5,61
"manipulated",1,1.2,12
"manipulates",1,0.03,62
"manipulative",1,39,71
"mankind",4,135.73,54
"mannered",8,59.93,37.38
"manny",3,183.97,50.33
"manscaping",1,0.02,25
"mansion",5,25.77,31
"manufacturer",1,49.2,72
"manuscript",1,1,4
"many",13,36.03,48.92
"manzoni",1,36.9,29
"map",1,309.4,45
"mara",1,46,31
"marathon",1,5.9,48
"marauders",1,105.2,43
"march",1,77.4,94
"marcus",2,125.1,75
"mare",1,73.2,69
"margaret",1,0.05,29
"margera",1,72.8,63
"marginalized",1,0.1,32
"margot",1,1.9,52
"maria",1,33,53
"mariachi",1,55.8,68
"mariane",1,9.1,79
"marie",2,8.05,67.5
"marigold",2,39.75,70
"marijuana",1,2,69
"marilyn",3,5.9,61.33
"marina",1,0.6,45
"marine",6,168.32,45.83
"marines",5,38.52,28.4
"mario",1,0.3,91
"marionette",1,0,10
"marital",2,8,70.5
"mark",5,37.56,61.2
"marked",4,83.63,47.5
"market",1,52.8,55
"marketing",1,17.6,91
"marks",2,0.3,16.5
"marksman",1,47,48
"marley",1,1.4,95
"marmont",1,1.8,71
"marooned",2,70,14
"marquis",1,4.3,75
"marriage",37,37.1,43.43
"marriages",5,20.3,58.8
"married",39,37.48,44.18
"marries",4,28.58,47
"marry",7,59.27,42.43
"marrying",5,35.14,41.8
"mars",5,13.18,42.8
"marseilles",1,31.3,37
"marsh",2,27.6,18.5
"marshal",4,99.48,57.75
"marshall",4,29.28,37
"martha",3,12.6,51.33
"martial",11,54.21,54.82
"martialed",1,17.9,52
"martian",2,4.15,10.5
"martians",1,21.4,37
"martin",7,23.6,42.71
"martine",1,30,79
"martinez",1,0.1,48
"martini",1,0.2,51
"marty",1,216.4,79
"mary",4,33.7,63.75
"marybeth",1,0.05,36
"maryland",2,29.02,52
"marylou",1,0.7,43
"mask",3,38.07,17.33
"masked",2,91.4,32
"mason",3,37.67,59.67
"masquerading",1,4.2,85
"mass",5,65.3,61.2
"massachusetts",1,1.2,45
"massacre",3,17.52,73
"massage",1,0.04,36
"masses",2,0.46,77
"masseur",1,0.3,52
"massey",1,0.2,88
"massive",7,73.05,53.14
"master",15,55.45,49.73
"mastermind",4,138.9,51.25
"masterpiece",1,7.2,89
"masterpieces",1,78,31
"match",1,57.3,62
"matches",2,16,41
"mate",1,1.5,92
"mater",4,114.48,52
"material",2,16.2,54
"materialism",1,5.7,44
"materials",1,0.3,81
"mates",4,78.75,60.75
"mathematician",4,71.38,76.5
"mathematicians",1,91.1,89
"matheson",1,0.05,29
"matriarch",1,0.04,20
"matt",1,0.5,43
"matter",4,89.06,68.5
"matters",7,30.23,56.43
"mattress",1,17.8,79
"mature",2,13.1,60
"mau",2,0.3,59
"maude",1,0,0
"maverick",2,37.3,88
"mavericks",1,6,31
"max",6,31.12,48.83
"may",19,39.21,51.58
"mayan",1,50.8,65
"maybe",3,7.04,36
"mayhem",3,46,53.33
"mayor",2,16.95,20.5
"mayoral",1,85.9,27
"mays",1,37.8,31
"maze",1,102.4,63
"mcavoy",1,0.2,89
"mcbeth",1,0.2,59
"mccall",1,18.4,0
"mccandless",1,18.2,82
"mccarthy",1,31.5,93
"mcclane",2,100.9,48
"mcdonagh",1,1.6,87
"mcdonald",1,24,63
"mcewan",1,50.8,83
"mcewen",1,0.2,80
"mcginley",1,50,8
"mcguire",1,42.7,40
"mckenna",1,0.2,67
"mcmurdo",1,0.7,94
"mcphee",1,29,76
"mcqueen",3,149,58
"mean",6,31.12,16.83
"meaning",10,41.76,53.9
"meaningful",1,20,76
"meaningless",2,7.35,40
"meanings",2,1.25,80
"means",8,9.77,38.25
"meant",3,34.93,45.33
"meanwhile",12,22.47,37.67
"measures",2,9.45,80.5
"meatwad",1,5.4,48
"mechanic",3,103.93,45.67
"mechanized",1,31.6,31
"med",1,7,2
"medallion",1,22,18
"medals",1,118.2,69
"meddles",1,17.3,44
"meddling",1,42.6,5
"media",10,19.23,47.7
"medical",7,54.99,53
"medication",1,27.3,93
"medicine",2,14.2,64.5
"medieval",2,35.5,12
"meditation",2,11.2,60
"meds",1,0.3,70
"medusa",1,0.2,74
"meek",1,313.8,91
"meet",29,24.44,56.66
"meeting",14,77.96,66.07
"meetings",1,2.8,98
"meets",55,53.54,50.76
"mega",5,15.37,55.6
"megamind",1,148.2,72
"megan",1,25.6,18
"megiddo",1,5.6,10
"mei",2,17.1,57
"melanie",1,26.6,8
"melinda",1,3.7,53
"mellark",1,424.6,89
"melman",1,216.4,79
"meltdown",5,13.76,42.2
"melting",2,6.42,77.5
"melvin",1,0.3,91
"member",11,22.5,44.45
"members",12,11.51,56.92
"memoir",2,11.35,55
"memoirs",1,60.3,78
"memorabilia",1,44,19
"memorial",1,26.8,28
"memorialize",1,17.5,88
"memories",10,26.35,56
"memory",15,80.95,49.07
"memphis",5,28.37,71
"men",55,51.4,50.95
"menace",4,150.73,55.25
"menacing",1,119.8,70
"mend",1,67.6,20
"mending",1,5.3,87
"menopause",1,0.1,38
"mental",12,32,43.17
"mentally",4,12.05,43.75
"mentor",10,59.4,43.1
"mentoring",2,0.13,39
"mentorship",2,0.11,76.5
"menu",2,28.35,39.5
"mercado",1,1.5,74
"mercenaries",4,139.35,47.75
"mercenary",2,53.85,41.5
"merchant",1,3.8,72
"merciless",4,53.3,62
"mercury",1,1.1,85
"mercy",2,114.3,52
"mere",2,20.9,68
"merfolk",1,104.4,49
"merida",2,237.3,78
"merlin",1,63.1,41
"mermaid",2,16.85,31.5
"merrin",4,21,20.5
"merry",2,96.65,62
"mesmerizing",1,0.6,11
"mess",3,17.7,59.67
"message",2,0.1,10
"messages",5,34.4,32.2
"messenger",2,10.3,41
"messing",1,32,10
"messy",1,93,31
"met",12,34.33,41.17
"metal",1,0.05,60
"metallica",1,3.4,78
"meteor",1,37.6,43
"meteoric",2,52.05,72
"meteorite",2,166.95,68.5
"meth",2,10.05,27.5
"methodical",1,67.2,92
"methods",1,77.3,18
"meticulous",1,28.6,10
"metro",1,148.2,72
"metrosexuals",1,0.02,25
"mexican",16,24.45,56.5
"mexicans",3,1.38,55.33
"mexico",19,32.29,46
"mi",3,111,53
"mia",5,50.85,29
"miami",9,32.64,38.11
"michael",22,42.38,41.73
"michaelson",2,0.3,25
"michelangelo",1,0.05,34
"michelin",1,54.2,68
"michelle",3,88.5,51
"michigan",2,45.05,32
"mick",1,25.3,11
"mickey",1,46,31
"micky",1,93.6,91
"microscopic",1,154.4,79
"mid",11,45.15,58.55
"middle",31,36.44,55.65
"midgard",1,181,77
"midnight",1,56.8,93
"midst",7,35.81,44.71
"midwest",6,4.33,19.67
"midwestern",6,39.45,58
"midwesterner",1,8.2,54
"midwife",1,17.1,89
"might",23,33.74,51.74
"mightiest",2,538.75,83
"mighty",1,0.2,0
"migration",1,32,87
"migs",1,0.05,80
"miguel",2,0.6,67.5
"mikael",1,102.5,86
"mike",7,58.83,60.29
"mikey",1,0.3,18
"mild",8,59.5,38.75
"mile",3,47.03,63.33
"miles",7,3.19,49.14
"miley",2,72.3,58
"milian",1,21.7,13
"military",22,50.02,47.45
"militia",2,12.9,76
"milk",1,31.7,94
"mill",1,58.4,85
"millennium",1,60.5,11
"miller",1,14.1,22
"millie",1,0.04,65
"millimetre",1,2.6,77
"million",18,26.13,52.06
"millionaire",4,96.85,44
"millionaires",1,3.5,66
"millions",14,47.02,58.71
"mills",1,7.7,16
"milo",2,52.5,43
"mind",13,90.11,43.62
"minded",3,1.93,52
"minds",2,30.95,79
"miner",1,18.3,68
"mines",1,18.3,68
"mini",1,73.7,53
"miniature",1,11.6,20
"minimum",1,45.4,26
"mining",2,3.7,50.5
"minion",1,368,74
"minions",1,163.2,28
"minister",2,42.85,68
"minnesota",4,44.48,66.5
"minor",2,29.8,55
"minors",1,16.6,31
"minstrel",1,1.9,48
"minted",1,82.4,18
"minute",3,29.22,19.33
"minutes",4,29.08,64
"miracle",2,33,59.5
"miraculously",2,24.25,88.5
"miranda",2,110,45
"miri",1,31.4,65
"mirrormask",1,0.8,54
"mirrors",1,30.6,14
"misadventure",1,0.2,83
"misadventures",4,22.18,27
"misanthropic",3,21.57,57.67
"mischevious",1,6.3,16
"mischievous",4,240.9,50.5
"miser",1,137.8,54
"misery",1,13,84
"misfit",6,17.7,35.33
"misfits",5,28.9,51
"misguided",2,26.4,24
"mishaps",1,14,11
"mismatched",3,103.33,55
"misplaced",2,31.2,66.5
"misreading",1,93.9,40
"miss",2,53.1,66.5
"missed",1,57.7,11
"missie",2,0.2,13
"missile",2,41.9,52
"missing",30,36.77,41.23
"mission",48,55.14,51.63
"missionaries",2,4.05,55.5
"missionary",6,5.2,45.83
"missions",2,16.65,73.5
"mississippi",2,88.95,50
"missouri",3,2.8,69.67
"missteps",1,6.3,13
"missy",1,26.9,31
"mist",1,28.8,30
"mistake",3,87.73,61.67
"mistaken",11,18.81,35.73
"mistakenly",4,118.63,43.25
"mistakes",2,43.3,32.5
"mistress",4,6.8,35
"misunderstood",1,56,87
"mit",1,81.2,36
"mitch",2,37,25
"mitchell",2,1.86,62
"mitzvah",1,4.3,37
"mix",4,6.6,68.25
"mixed",7,36.47,51.43
"mixture",1,0.8,85
"mm",1,48.1,62
"mo",1,13.4,78
"moab",1,18.3,93
"mob",20,25.06,51.45
"mobster",8,20.53,45.75
"mobsters",5,21.66,32.2
"mockumentary",1,17.5,88
"moctesuma",1,4,66
"mode",1,148.3,44
"model",4,17.7,69.5
"models",2,0.25,86
"modern",15,34.36,55.2
"modernized",1,0.2,59
"modified",1,556.5,71
"moe",2,22.16,44.5
"mogul",6,45.2,29
"mohamed",1,0.08,98
"mohawk",1,2.1,88
"mojave",1,0.04,34
"moko",1,0.1,90
"mole",3,73.73,55.67
"molecular",1,5,52
"molester",1,1.5,88
"molly",5,12.06,48.2
"mom",17,22.72,37.35
"moment",6,24.76,26.5
"momentous",1,101.2,77
"moments",1,12.4,27
"moms",2,14.55,9.5
"mon",1,1.6,14
"mona",1,2.8,16
"monarch",1,138.8,94
"monastery",1,24.8,9
"money",31,34.36,47.9
"moneylender",1,3.8,72
"monger",1,176.6,79
"mongolian",1,20.9,30
"mongoose",1,0.2,80
"monica",1,0.03,48
"monicans",1,25.9,10
"monk",4,27.4,34.25
"monkey",4,36.85,71
"monkeybone",1,4.9,20
"monkeys",1,16.3,94
"monks",1,24.8,9
"monolithic",1,126.5,73
"monopolize",1,0.5,30
"monopoly",2,0.04,80
"monroe",1,14.6,83
"monster",12,60.97,49.5
"monsters",11,92.75,59.27
"monstropolis",1,34,96
"monstrous",3,77.47,56
"montague",1,99.8,55
"montana",6,32.2,50.5
"monte",1,23.2,38
"montego",1,2.4,6
"monterrey",1,1,57
"montgomery",2,32.1,44.5
"month",4,31.85,50.25
"months",5,17.26,36.2
"monty",1,0.1,30
"monumental",2,41.1,37.5
"mooby",1,24,63
"moody",1,15,19
"moon",8,154.19,39.38
"moonlight",2,55.1,35
"moonlighting",1,0,0
"moonlights",1,35.1,93
"moonshadow",1,1.7,0
"moore",6,27.02,57
"moorwen",2,0.06,37
"mooseport",1,14.2,13
"mopes",1,8.3,42
"moral",2,20.8,23.5
"morality",2,47.65,62
"morals",1,0.7,40
"mordor",1,340.5,96
"morgan",1,0.3,38
"morgana",1,63.1,41
"morgue",1,0.06,33
"moriarity",1,6,31
"moriarty",2,93.75,51
"moribund",1,13.5,92
"mormon",9,0.44,56.78
"morning",8,24.5,31.38
"moroccan",1,34.2,69
"moroi",2,7.8,9
"morphed",1,0.02,90
"morphs",1,6.6,48
"mortal",6,90.3,27.83
"mortality",1,10,51
"mortgage",1,0.01,14
"mortician",1,9.2,90
"morton",1,0.02,90
"moscovitz",1,107.8,47
"moscow",2,10.9,11
"moses",3,69.53,47
"mossad",1,31.1,77
"mostly",2,24.77,49
"motel",7,12.25,46.57
"mother",107,21.32,49.75
"mothers",2,2.9,61.5
"moths",1,12,15
"motion",8,12.31,54.63
"motivate",1,3,6
"motivated",2,35.2,34
"motivation",1,0.03,68
"motives",7,26.17,53.43
"motocross",3,1.28,35.33
"motor",1,3.3,4
"motorcycle",3,14.37,82
"motorcyclist",1,115.8,26
"motors",1,0.2,70
"motown",1,1.2,92
"mount",5,147.58,67.8
"mountain",12,102.56,67.25
"mountaineer",1,0.9,76
"mountains",3,25.6,61.33
"mounting",2,62.5,86
"mounts",1,61,82
"mouse",5,32.06,37
"mousy",1,11.2,84
"mouthed",1,159.6,65
"mouthy",1,36.5,10
"move",21,38.12,37.81
"moved",8,53.41,47.63
"movement",8,42.5,68.25
"moves",31,17.91,43.48
"movie",32,39.84,52.06
"movies",12,19.68,52.25
"moving",13,44.02,34.38
"mowgli",1,47.8,19
"moxie",1,0.1,38
"mr",19,61.03,46.58
"mrs",4,58.4,64.75
"much",30,29.86,37.03
"muhammad",1,58.2,67
"muir",1,62.3,66
"mulder",1,20.8,31
"mule",2,45.4,72.5
"mulholland",1,7.1,81
"mulroney",1,32,10
"multi",7,18.01,44.14
"multihued",1,0.03,25
"multimillion",1,0.8,93
"multinational",1,58.6,49
"multiple",5,17.55,63.4
"mumbai",2,72.7,94
"mummified",1,200.7,47
"mummy",2,101.6,13
"mundane",2,1.68,65.5
"munez",1,4.2,44
"munger",1,0.3,0
"muniz",1,49.2,35
"munro",2,38.2,52.5
"muppet",3,59.17,95.67
"muppets",1,51.2,78
"murder",62,32.3,43.11
"murdered",13,45.37,33.62
"murderer",6,77.94,67.17
"murderers",4,47.88,56.75
"murderess",1,125,68
"murderesses",1,170.6,86
"murdering",2,17.55,40
"murderous",5,25.48,33
"murders",12,29.6,42.92
"murdoch",1,5.4,79
"murphy",1,58.6,49
"murray",2,3.8,54
"murrow",1,31.5,93
"muscle",2,184.35,85
"muse",2,10.15,33.5
"museum",7,95.69,30.57
"music",36,25.06,54.44
"musical",17,23.3,59.35
"musician",15,16.69,58.87
"musicians",4,1,83.25
"musicologist",1,1.6,74
"musketeers",2,23.5,17.5
"muslim",2,0.4,57.5
"must",158,70.18,42.72
"mustang",1,0.09,93
"mutant",3,145.8,86.67
"mutants",5,158.3,65.8
"mutated",2,115.35,27
"mutations",1,234.2,58
"mute",2,8.05,57.5
"mutt",1,7.3,8
"mutual",4,40.73,52.25
"mutually",1,12.5,58
"mv",1,107.1,93
"myers",3,39.6,16.33
"myles",1,14.6,32
"myriad",2,8.45,38
"myrtle",1,27.9,64
"mysteries",3,9.1,35.67
"mysterious",78,67.6,46.09
"mysteriously",8,59.18,58.25
"mystery",21,57.37,43.76
"mystic",1,0.3,52
"mystical",2,161.05,59.5
"mythic",2,3.02,49
"mythical",7,50.81,44.71
"myths",1,66.3,77
"n",12,33.53,45.08
"naive",6,16.02,43
"name",9,58.52,49.44
"named",17,91.49,46.24
"names",1,6.4,89
"nancy",1,25.5,49
"nanjing",1,0.05,96
"nanny",6,38.24,42.5
"napoleonic",2,49.1,80
"nappers",1,6.9,18
"narcissistic",1,0.1,44
"narco",1,0.1,86
"narcotics",3,74.9,59.33
"narnia",3,179.23,64
"narration",2,40.1,72
"narrative",1,0.01,42
"narratives",1,0.6,61
"narrow",2,22.85,19.5
"nasa",4,9.48,65
"nascar",3,78,58
"nash",2,85.37,71.5
"nasheed",1,0.08,98
"nastier",1,118.7,33
"nasty",2,26.35,43
"natasha",1,0.4,43
